Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
One-Pot Gingery Chicken and Rice With Peanut Sauce,"1. 6 small skin-on, bone-in chicken thighs (about 3 lb.)
2. ¾ tsp. kosher salt, plus more
3. 2 large shallots, finely chopped
4. 8 garlic cloves, finely chopped
5. 1 2"" piece ginger, peeled, finely chopped
6. 2 cups high-quality basmati rice, rinsed
7. 2 whole star anise
8. 1 Tbsp. soy sauce
9. ½ cup creamy peanut butter
10. 2 Tbsp. soy sauce
11. 2 Tbsp. unseasoned rice vinegar
12. 5 tsp. Sriracha
13. 1 1"" piece ginger, peeled, finely chopped
14. 1½ tsp. honey
15. 1 English hothouse cucumber, halved lengthwise, thinly sliced on a diagonal
16. 1 cup cilantro leaves with tender stems","1. Pat chicken dry and season all over with salt. Arrange, skin side down, in a cold, dry medium Dutch oven and set over medium heat. Cook, undisturbed, until skin is golden brown and crisp and easily releases from pot, 8–10 minutes. Slide thighs around to different spots (this will ensure even browning) and continue to cook until deeply browned, 3–5 minutes longer. Transfer chicken to a plate. Let pot cool 2 minutes.
2. Set pot over medium-low heat; add shallots, garlic, and ginger and cook, stirring constantly, until very fragrant but not browned, about 2 minutes. Stir in rice and star anise and cook, stirring constantly, 1 minute. Stir in soy sauce, ¾ tsp. salt, and 3 cups water. Nestle chicken back into rice mixture in pot, arranging skin side up. Increase heat to medium and bring liquid to a simmer. Immediately cover pot, reduce heat to low, and cook 25 minutes. Remove from heat and let chicken and rice sit 10 minutes.
3. While the chicken and rice are cooking, make the sauce. Whisk peanut butter, soy sauce, vinegar, Sriracha, ginger, honey, and ¼ cup warm water in a small bowl until smooth and pourable. If sauce still looks a little thick, continuing adding water until it reaches a drizzle-able consistency.
4. Remove lid from pot and fluff rice with a fork. Pluck out and discard star anise. Serve chicken and rice with peanut sauce, cucumber, and cilantro alongside.",6 servings,Cook: 45 minutes,Sauce can be made 3 days ahead. Cover and chill.,Molly Baz,https://www.bonappetit.com/recipe/one-pot-chicken-and-rice?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&_gl=1*fycr0b*_ga*YW1wLU96ZnV5cnhaVi1DY1doaFk5NG1XTXJ0VkVfeDFkUmtFMzN2cFlmQzZ1QW93em4xZ3VqeWcwaVpNNHNzalhsS1I.&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_brand=ba&utm_source=instagram&intcid=inline_amp&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
Coconut Cod Chowder With Seasoned Oyster Crackers,"1. 1½ lb. skinless, boneless cod or halibut fillets
2. 2½ tsp. kosher salt, divided, plus more
3. 5 Tbsp. ghee or unsalted butter, divided
4. 2 medium leeks, white and pale green parts only, halved lengthwise, thinly sliced crosswise
5. 6 garlic cloves, thinly sliced
6. 1 3"" piece ginger, peeled, cut into matchsticks
7. ¾ tsp. ground turmeric
8. ¾ tsp. ground coriander
9. ½ tsp. ground cardamom
10. 1 serrano chile, thinly sliced
11. 12 oz. baby Yukon Gold or red potatoes, halved
12. 2 13.5-oz. cans unsweetened coconut milk
13. 2 celery stalks, thinly sliced, plus leaves for serving (optional)
14. 1½ cups oyster crackers
15. 1 tsp. paprika
16. 2 limes, divided","1. Season cod all over with 1½ tsp. salt; set aside. Heat 3 Tbsp. ghee in a medium Dutch oven over medium. Cook leeks, garlic, and ginger, stirring occasionally, until softened but not browned, about 3 minutes. Add turmeric, coriander, and cardamom and cook, stirring, until fragrant, about 30 seconds. Add chile, potatoes, coconut milk, 1 tsp. salt, and ¾ cup water; bring to a boil (still over medium). Immediately reduce heat so soup is at a bare simmer. Cover, leaving lid slightly askew, and cook until potatoes are barely fork-tender, 10–12 minutes.
2. Carefully nestle reserved fish into pot, spoon some broth over, and cover, leaving lid slightly askew. Cook at a bare simmer 4 minutes, then stir in celery. Cook until fish is opaque and flakes easily, about 5 minutes. Taste chowder and season with more salt if needed.
3. Meanwhile, heat remaining 2 Tbsp. ghee in a small skillet over medium-low. Add crackers and stir well to coat. Cook, stirring often, until golden brown, about 5 minutes. Remove from heat and add paprika; toss to evenly coat.
4. Slice 1 lime in half and squeeze juice into chowder. Taste and season with more salt if needed. Ladle into bowls, breaking fish into large pieces. Scatter celery leaves over chowder if using and top with crackers. Slice remaining lime into wedges and serve alongside.",4 servings,Cook: 30 minutes,"Too often fish chowder is heavy, gloppy, and one-note. Not this guy. Coconut milk and lots of zippy aromatics bring life to the dish. And though you may think oyster crackers can’t be improved upon, you’ll change your mind when you try them extra-buttery and smothered in paprika.",Molly Baz,https://www.bonappetit.com/recipe/coconut-cod-chowder?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
,,,,,,,https://www.halfbakedharvest.com/cauliflower-shawarma/#bo-recipe
,,,,,,,https://thewoodenskillet.com/simple-buffalo-cauliflower-lettuce-wraps/?utm_campaign=later-linkinbio-thewoodenskillet&utm_content=later-5647539&utm_medium=social&utm_source=instagram
,,,,,,,https://thewoodenskillet.com/crockpot-cilantro-lime-chicken/?utm_campaign=later-linkinbio-thewoodenskillet&utm_content=later-5697011&utm_medium=social&utm_source=instagram
Pickled Red Onion Recipe,,,,,"The content provided does not include specific details about ingredients, instructions, or time. Please refer to the original source for complete information.",Andrea Hannemann,https://www.instagram.com/p/B7bXnbwAFoT/?igshid=nuzsz58fnrnu
Harissa Romesco Sauce,"1. 1 cup of nuts (any mix of almonds, walnuts, cashews, or pine nuts), toasted and cooled
2. 1 cup Signature Harissa
3. 2 ½ tablespoons extra-virgin olive oil
4. 1 tablespoon lemon juice
5. Salt","1. Place nuts, harissa, olive oil, lemon juice, and a generous pinch of salt in a food processor and blend until a uniform paste forms.
2. Taste and add more salt, if desired.",Makes about 2 cups,,"This sauce pairs well with roasted cauliflower, pasta, or as a sandwich spread.",,https://www.nyshuk.com/harissa-romesco-cauliflower
Khao Soi,"1. 2 large (6 ounces total) shallots, quartered, peelings and trimmings reserved
2. 18 garlic cloves (from 2 [2-ounce] heads), peelings and trimmings reserved
3. 1 1/2 ounces daikon radish, peeled and cut into large pieces (about 1/2 cup), peelings and trimmings reserved
4. 1 (1/2-ounce) lemongrass stalk, cut into small pieces (about 1/4 cup), tough outer leaves and trimmings reserved
5. 1/4 cup vegetable oil
6. 1 small (4-ounce) white onion, thinly sliced (about 1 cup), peelings and trimmings reserved
7. 1 pound cherry tomatoes, halved (about 3 cups)
8. 1 pound ground pork
9. 12 cups, plus 2 tablespoons water, divided
10. 1/2 cup soybean paste
11. 1 1/2 tablespoons red pepper powder
12. 1 tablespoon paprika
13. 1 tablespoon palm sugar
14. 1 tablespoon granulated sugar
15. 1/2 teaspoon black pepper
16. 4 1/2 tablespoons fish sauce, divided
17. 1/2 cup galangal, peeled and grated with microplane grater
18. 1 (32-ounce) package fresh rice noodles or 1 pound dried rice noodles
19. 1 tablespoon kosher salt
20. Garnishes: mint leaves, cilantro leaves, thinly sliced green onion, and halved lengthwise beech mushrooms","1. Pulse shallots in a food processor until finely chopped, about 10 pulses. Transfer shallots to a bowl, and set aside. Pulse garlic in food processor until finely chopped, about 6 pulses. Transfer to a separate bowl, and set aside. Pulse radish and lemongrass in food processor until finely chopped, about 10 pulses. Transfer to a separate bowl, and set aside.
2. Heat oil in a medium Dutch oven over medium-high. Add onion and reserved shallots; cook, stirring constantly, until fragrant, about 30 seconds. Add reserved garlic; cook, stirring often, until onion and shallots are translucent, about 3 minutes. Add tomatoes and reserved radish-lemongrass mixture; cook, stirring often, until fragrant and tomatoes begin to soften, about 2 minutes. Add ground pork; cook, stirring constantly, until pork is broken into small pieces, about 1 minute. Add 2 tablespoons of the water. Reduce heat to low; cook, stirring often, until pork is no longer pink, about 15 minutes. Add soybean paste, red pepper powder, paprika, palm sugar, granulated sugar, black pepper, and 1 1/2 tablespoons of the fish sauce, stirring until evenly combined. Increase heat to medium; cook, stirring often, until slightly thickened, about 10 minutes. Reduce heat to low; cook, stirring occasionally, until thickened, about 10 minutes. Turn off heat; stir in grated galangal. Cover pork sauce, and keep warm using residual heat from burner.
3. During final 10 minutes of pork sauce cooking, bring remaining 12 cups water in a large saucepan to a boil over medium-high. Reduce heat to medium; add rice noodles, stirring once, until softened, 30 to 40 seconds for fresh noodles or 2 to 3 minutes for dried noodles. (If using dried noodles, soak in warm water for 10 minutes before boiling noodles.) Transfer noodles to a colander using a slotted spoon, and drain well; reserve cooking water in saucepan. Place noodles in a large bowl; cover with cold water, and set aside. Add reserved shallot, garlic, radish, lemongrass, and onion peelings and trimmings to cooking water in saucepan; add salt and remaining 3 tablespoons fish sauce. Bring to a simmer over medium; simmer, stirring occasionally, 20 minutes. Pour broth through a fine mesh strainer into a large bowl, discarding solids.
4. Drain reserved noodles. Divide noodles evenly among 6 bowls (about 1 1/3 cups each). Top evenly with pork sauce (about 3/4 cup each), and add about 1 2/3 cups broth to each bowl; garnish with mint, cilantro, green onion, and mushrooms.",6 servings,"Prep: 1 hr 35 mins
Cook: 1 hr 35 mins
Total: 1 hr 35 mins","An aromatic mixture made of shallot, garlic, and radish is the base of this riff on the Northern Thai classic from chef Donny Sirisavath. He amps up the flavor with soybean paste, cherry tomatoes, and ground pork to create a deeply savory pork sauce. Red pepper flakes, black pepper, and palm sugar act as a balancing act to the spices and aromatics in the sauce.",Donny Sirisavath,https://www.foodandwine.com/recipes/laotian-khao-soi?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
"Restoration Salad with Farro, Orange, and Blue Cheese","1. 3 whole cloves
2. 1/2 medium yellow onion
3. 1 1/2 quarts water
4. 1 cup uncooked whole-grain farro (such as Bob’s Red Mill)
5. 1 dried bay leaf
6. 3 medium navel oranges
7. 1/4 cup golden raisins
8. 1/4 cup extra-virgin olive oil
9. 2 tablespoons white balsamic vinegar
10. 1 tablespoon minced shallot
11. 1 teaspoon Dijon mustard
12. 1/2 teaspoon kosher salt
13. 1/2 teaspoon black pepper
14. 8 ounces brussels sprouts, trimmed and very thinly sliced
15. 1/2 cup walnut halves, toasted
16. 4 ounces firm blue cheese, cut into 4 slices","1. Poke cloves into the cut side of the onion half. Combine cloved onion half, 1 1/2 quarts water, farro, and bay leaf in a large saucepan; bring to a boil over high. Reduce heat to medium; cook, uncovered, until farro is chewy-tender, about 20 minutes. Drain and rinse with cold water. Discard onion and bay leaf.
2. While farro is cooking, grate 1 orange to equal 1/2 teaspoon zest, and set aside. Peel oranges with a knife, removing all white pith. Section oranges over a bowl, reserving juice (about 1/3 cup). Squeeze membranes to extract juice; discard membranes.
3. Place raisins in a small microwavable bowl; pour orange juice over raisins. Microwave at HIGH 1 minute. Place raisins and any unabsorbed juice in a large bowl; let cool slightly.
4. Combine oil, vinegar, shallot, mustard, salt, pepper, and reserved orange zest in a small jar. Seal and shake to emulsify. Add farro, brussels sprouts, and orange segments to the bowl with raisins.",4,"Prep: 25 mins
Total: 35 mins",Store walnuts separately to retain crunch if preparing in advance.,Ann Taylor Pittman,https://www.foodandwine.com/recipes/restoration-salad-farro-orange-and-blue-cheese?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
Escarole Caesar With Sardines and Hazelnuts,"1. ½ cup blanched hazelnuts
2. 1 3.75-oz. can sardines, drained
3. 1 garlic clove, finely grated
4. 2 Tbsp. fresh lemon juice
5. 1 tsp. Dijon mustard
6. ½ tsp. freshly ground black pepper, plus more
7. 1½ oz. Piave cheese or Parmesan, divided
8. ½ cup mayonnaise
9. 2 Tbsp. extra-virgin olive oil
10. Kosher salt
11. 1 large head or 2 small heads of escarole (about 1½ lb.), wilted outer leaves removed, inner leaves torn into large pieces
12. Lemon wedges (for serving)","1. Preheat oven to 325°. Toast hazelnuts on a rimmed baking sheet until deep golden brown, 12–15 minutes. Let cool, then crush or coarsely chop.
2. Open each sardine with the tip of a paring knife, prying the fillets apart. Remove any bones. Finely chop 2 sardines and transfer to a large bowl. Add garlic, lemon juice, mustard, and ½ tsp. pepper and whisk to combine. Finely grate 1 oz. Piave (about two-thirds) into bowl and add mayonnaise and oil; whisk to combine. Season dressing with salt.
3. Add escarole and three-fourths of hazelnuts to bowl with dressing and toss well to coat; season with salt and pepper.
4. Divide salad among plates, top with remaining hazelnuts. Shave remaining ½ oz. Piave over and break remaining sardines into smaller pieces and scatter on top. Serve with lemon wedges for squeezing over.",4 servings,Cook: 12–15 minutes,"When looking for a sustainable fish option, go for lower-on-the-food-chain guys like sardines. They’re in their full glory in this umami-packed twist on Caesar.",Molly Baz,https://www.bonappetit.com/recipe/escarole-caesar-with-sardines-and-hazelnuts
,,,,,,,https://www.masterclass.com/articles/how-to-make-homemade-birria#birria-recipe
Low Carb Keto/Paleo Waffles,"1. 1/2 cup almond flour
2. 1/2 cup tigernut flour
3. 4 Tbsp ground flaxseed
4. 1-1/2 tsp baking powder
5. 1/4 tsp sea salt
6. 1 tsp cinnamon
7. 1 pkg of dry or 4 drops liquid stevia (optional)
8. 2 Tbsp melted coconut oil (or butter or ghee)
9. 6 drops liquid stevia (or 1 packet of powder)
10. 3 large eggs
11. 1 cup coconut milk (blend 2 Tbsp coconut cream + balance of water to 1 cup mark for 30 sec)","1. Pre-heat an electric waffle maker.
2. While warming waffle maker, mix all dry ingredients in a small bowl and whisk with a fork to combine.
3. Add all wet ingredients on top of the dry (in the same bowl) and whisk until batter is smooth.
4. For a waffle maker that makes 2 square waffles at a time, scoop ~1/4 cup of batter into each square (until just covered) and close the lid until the light indicates the waffle is done. Leave in an extra minute for a crisper waffle.
5. Set cooked waffles on a cooking rack or in a warm oven to prevent them from getting soggy.
6. Serve topped with butter, a low carb monkfruit syrup, coconut cream, and/or nut butter.",4 servings (2 waffles each),,The waffles freeze and reheat really well. They can be used for camping or backpacking and should hold together enough to make a sandwich.,Jamie,https://dailybagofgoodness.com/2018/04/18/lowcarbwaffles/
